station,rmse,missing_data_frac
"Alipur, Delhi - DPCC",23.626776453455406,0.029566210045662067
"Anand Vihar, Delhi - DPCC",30.602414610957258,0.024200913242009126
"Ashok Vihar, Delhi - DPCC",23.028784110744954,0.04429223744292232
"Aya Nagar, Delhi - IMD",20.562437643932157,0.07328767123287672
"Bawana, Delhi - DPCC",29.39384974620138,0.014155251141552472
"Burari Crossing, Delhi - IMD",37.54030989937657,0.37385844748858443
"CRRI Mathura Road, Delhi - IMD",21.137767917144103,0.026255707762557035
"Chandni Chowk, Delhi - IITM",29.6339835703068,0.4848173515981735
"DTU, Delhi - CPCB",28.228874383236306,0.1844748858447488
"Dr. Karni Singh Shooting Range, Delhi - DPCC",18.595324922767215,0.013926940639269358
"Dwarka-Sector 8, Delhi - DPCC ",20.52303169902655,0.020205479452054753
"IGI Airport (T3), Delhi - IMD",20.360204815474326,0.020547945205479423
"IHBAS, Dilshad Garden, Delhi - CPCB",28.442614647862243,0.11255707762557077
"ITO, Delhi - CPCB",21.39746129524382,0.03493150684931512
"Jahangirpuri, Delhi - DPCC",32.70921353935501,0.031392694063926974
"Jawaharlal Nehru Stadium, Delhi - DPCC",16.815376017989273,0.05136986301369861
"Lodhi Road, Delhi - IITM",94.93572230578717,0.5270547945205479
"Lodhi Road, Delhi - IMD",16.860797907900743,0.030022831050228294
"Major Dhyan Chand National Stadium, Delhi - DPCC",20.67805171454201,0.022260273972602773
"Mandir Marg, Delhi - DPCC",20.334807040285646,0.048630136986301364
"Mundka, Delhi - DPCC",25.462445379390974,0.02442922374429224
"NSIT Dwarka, Delhi - CPCB",26.196598580028493,0.04977168949771693
"Najafgarh, Delhi - DPCC",16.65901416658993,0.07499999999999996
"Narela, Delhi - DPCC",24.250139760913825,0.03413242009132422
"Nehru Nagar, Delhi - DPCC",36.71349686648501,0.01666666666666672
"North Campus, DU, Delhi - IMD",26.1158572477631,0.03082191780821919
"Okhla Phase-2, Delhi - DPCC",18.08321817160285,0.00878995433789953
"Patparganj, Delhi - DPCC",23.950469083653864,0.03196347031963476
"Punjabi Bagh, Delhi - DPCC",27.047767083968612,0.03321917808219177
"Pusa, Delhi - DPCC",16.732043938456123,0.04292237442922375
"Pusa, Delhi - IMD",23.024188089300285,0.0775114155251142
"R K Puram, Delhi - DPCC",24.818995460142446,0.024315068493150682
"Rohini, Delhi - DPCC",24.28969569965117,0.006392694063926951
"Shadipur, Delhi - CPCB",29.03872398484392,0.049315068493150704
"Sirifort, Delhi - CPCB",29.227857896980673,0.07214611872146115
"Sonia Vihar, Delhi - DPCC",21.02761749254674,0.03242009132420087
"Sri Aurobindo Marg, Delhi - DPCC",17.241639009075815,0.026255707762557035
"Vivek Vihar, Delhi - DPCC",26.758190257888696,0.055365296803652986
"Wazirpur, Delhi - DPCC",26.155050066438495,0.0320776255707762
